PRISM Time Series Data
Location:  Lat: 30.3980   Lon: -94.2635   Elev: 18m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2024-08
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Feb-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,86.26,4.5,11.0,17.5,5.2,0.66,9.70
1895-02,72.00,0.5,6.4,12.3,1.0,0.80,6.70
1895-03,109.80,9.7,16.3,22.9,9.9,0.68,14.58
1895-04,50.86,12.1,19.4,26.6,12.8,0.67,19.00
1895-05,114.73,16.8,22.8,28.9,17.4,0.59,18.81
1895-06,173.13,20.9,26.3,31.7,21.3,0.64,21.41
1895-07,161.87,21.9,27.8,33.8,22.6,0.54,24.44
1895-08,123.52,21.6,27.7,33.8,22.1,0.70,25.39
1895-09,43.45,20.3,26.6,32.8,20.7,0.73,24.82
1895-10,95.38,10.2,18.1,26.0,10.9,0.53,20.02
1895-11,120.32,8.2,14.5,20.8,8.8,0.71,11.95
1895-12,123.48,4.6,11.2,17.9,6.2,0.47,10.06
1896-01,109.99,5.0,10.3,15.7,6.0,0.56,7.89
1896-02,168.25,6.1,12.5,18.8,6.9,0.62,11.03
1896-03,109.85,9.6,15.7,21.8,9.2,0.97,13.46
1896-04,106.48,15.9,21.5,27.1,16.2,0.68,16.86
1896-05,60.18,19.3,25.6,31.9,19.8,0.57,23.46
1896-06,137.11,20.1,27.1,34.0,20.4,0.76,29.03
1896-07,39.64,21.9,28.5,35.1,22.2,0.70,29.76
1896-08,87.54,21.8,28.8,35.8,21.9,0.88,32.77
1896-09,77.27,18.5,25.7,32.9,18.8,0.63,27.60
1896-10,150.73,12.5,19.7,26.9,13.5,0.38,18.42
1896-11,150.84,11.1,16.8,22.4,12.1,0.64,12.11
1896-12,45.19,3.6,11.1,18.6,6.0,0.56,11.16
